ph0,ph1,type,is_upma,syn_0,syn_1,phrase_0,phrase_1,contrast,content
Negative correlation,Combined arms,control_aabb,False,0,0,10,9,1,"{'syn_0': '""Negative"" typically refers to something that is unfavorable or lacking positivity, while ""Combined"" indicates the act of joining or merging things together. They do not share similar meanings and are fundamentally different in connotation. \n\nRating: 0', 'syn_1': '""Correlation"" and ""arms"" do not share a meaning. ""Correlation"" refers to a statistical relationship between two variables, while ""arms"" typically refers to limbs or weapons. There is no relevant slang or vulgar meaning that connects them. \n\nRating: 0', 'phrase_0': 'Yes, ""negative correlation"" is a recognized phrase commonly used in statistics and research to describe an inverse relationship between two variables. It is well-understood in academic and professional contexts. \n\nRating: 10', 'phrase_1': 'Yes, ""combined arms"" is a recognized military term referring to the integration of different branches of forces (e.g., infantry, armor, artillery, aviation) in operations to achieve greater effectiveness. It is a well-established concept in military strategy.\n\nRating: 9', 'contrast': 'No, ""Negative correlation"" refers to a statistical relationship where one variable increases while the other decreases, while ""Combined arms"" pertains to military strategy that involves integrating different branches of forces. Their meanings are quite distinct. \n\nRating: 1'}"
Chopped liver,Surgical procedure,control_aabb,False,4,0,8,9,1,"{'syn_0': '""Chopped"" generally refers to cutting something into smaller pieces, while ""Surgical"" relates to precise or careful cutting, often in a medical context. While both involve cutting, the context differs significantly. \n\nRating: 4', 'syn_1': '""Liver"" refers to a vital organ in the body, while ""procedure"" typically relates to a series of actions or steps taken to achieve a specific end, often in a medical context. They do not share any direct meanings or connotations. \n\nRating: 0', 'phrase_0': 'Yes, ""chopped liver"" is a recognized phrase used colloquially to express feelings of being undervalued or overlooked. It originates from Yiddish and is often used in a humorous or sarcastic context. It is fairly well-known in English-speaking cultures.\n\nRating: 8', 'phrase_1': 'Yes, ""surgical procedure"" is a recognized phrase commonly used in medical contexts to refer to operations performed by surgeons. It is widely understood among healthcare professionals and the general public.\n\nRating: 9', 'contrast': '""Chopped liver"" is an idiomatic expression often used to indicate something or someone who is considered unimportant or disregarded, while ""surgical procedure"" refers to a medical operation performed by doctors. Their meanings are not related at all.\n\nRating: 1'}"
Comedy Troupe,Morning wood,control_aabb,False,0,0,8,8,1,"{'syn_0': '""Comedy"" generally refers to a genre of entertainment intended to provoke laughter, while ""Morning"" refers to the early part of the day. They do not share any direct meanings or associations. \n\nRating: 0', 'syn_1': '""Troupe"" generally refers to a group of performers or actors, while ""wood"" typically refers to the material derived from trees. They do not share a meaning or context.  \n\nRating: 0', 'phrase_0': '""Comedy Troupe"" is a recognized phrase commonly used to refer to a group of comedians who perform together. It is widely understood in the context of performing arts and entertainment. I would rate it an 8 out of 10 for recognition and clarity.\n\nRating: 8', 'phrase_1': 'Yes, ""morning wood"" is a recognized phrase commonly used in informal contexts to refer to spontaneous erections that occur during sleep or upon waking. It is widely understood and often used in discussions about male physiology.\n\nRating: 8', 'contrast': '""Comedy Troupe"" refers to a group of comedians who perform together, while ""Morning wood"" is a colloquial term for the erection that some men experience upon waking. The terms pertain to very different contexts—one related to humor and performance, and the other to a physiological phenomenon. \n\nTheir similarity is minimal.\n\nRating: 1'}"
Floor plan,Fake news,control_aabb,False,0,1,9,10,1,"{'syn_0': '""Floor"" and ""Fake"" do not share a meaning. ""Floor"" refers to the surface of a room or space, while ""Fake"" indicates something that is not genuine. Their meanings are distinct and unrelated. \n\nRating: 0', 'syn_1': '""Plan"" typically refers to a detailed proposal for doing something, while ""news"" refers to information about recent events. They do not share a similar meaning in a significant way. \n\nRating: 1', 'phrase_0': 'Yes, ""floor plan"" is a recognized phrase commonly used in architecture, real estate, and interior design to refer to a diagram representing the layout of a building or room from a top-down view. It is widely understood and accepted in these contexts. \n\nRating: 9', 'phrase_1': 'Yes, ""fake news"" is a widely recognized phrase commonly used to describe misinformation or disinformation presented as news. It gained significant prominence in political discourse and media criticism.\n\nRating: 10', 'contrast': 'No, ""Floor plan"" and ""Fake news"" do not have a similar meaning. A floor plan refers to a scale drawing of a room or building layout, while fake news refers to misinformation or false news stories. \n\nRating: 1'}"
Scroll lock,Venture capital,control_aabb,False,1,0,7,10,1,"{'syn_0': '""Scroll"" generally refers to the action of moving through content on a digital interface, while ""venture"" means to undertake a journey or an undertaking, often with some risk. There is no significant overlap in their meanings. \n\nRating: 1', 'syn_1': '""Lock"" and ""capital"" do not share a similar meaning. ""Lock"" typically refers to securing something, while ""capital"" relates to wealth or resources. There are no notable connections between the two terms in standard or slang usage.\n\nRating: 0', 'phrase_0': 'Yes, ""Scroll Lock"" is a recognized phrase, particularly in computing and keyboard terminology. It refers to a toggle key on most keyboards that was originally intended to control the movement of text on the screen. While its use has diminished, it still remains known among tech enthusiasts and professionals.\n\nRating: 7', 'phrase_1': 'Yes, ""venture capital"" is a widely recognized phrase in finance and investment sectors, referring to funding provided to startups and small businesses with high growth potential. It is considered standard jargon within entrepreneurship and investment communities.\n\nRating: 10', 'contrast': 'No, ""Scroll lock"" and ""Venture capital"" do not have a similar meaning. ""Scroll lock"" refers to a key on a keyboard that affects scrolling behavior, while ""Venture capital"" refers to financing provided to startups and small businesses with strong growth potential. Their meanings are unrelated.\n\nRating: 1'}"
Operating system,Backseat driver,control_aabb,False,0,4,10,9,1,"{'syn_0': '""Operating"" generally means to control or manage something, while ""Backseat"" often refers to being in a passive or less active role, particularly in a situation where one is not in control. Therefore, they do not share a similar meaning. \n\nRating: 0', 'syn_1': '""System"" and ""driver"" can share meanings in the context of technology or computing, where a driver is software that controls a system\'s hardware components. However, they refer to different concepts and are not synonymous. \n\nRating: 4', 'phrase_0': 'Yes, ""Operating system"" is a widely recognized phrase in computing and technology. It refers to the software that manages hardware and software resources on a computer. Given its relevance and usage, I would rate it as:\n\nRating: 10', 'phrase_1': 'Yes, ""backseat driver"" is a recognized phrase referring to someone who gives unsolicited advice, especially when not in control of the situation. It\'s commonly used in both driving and broader contexts. \n\nRating: 9', 'contrast': 'No, ""Operating system"" and ""Backseat driver"" do not have a similar meaning. An ""operating system"" refers to software that manages computer hardware and software resources, while a ""backseat driver"" refers to a person who gives unsolicited advice or directions, especially while someone else is driving. \n\nRating: 1'}"
Turing machine,Natural selection,control_aabb,False,0,0,10,10,1,"{'syn_0': 'The terms ""Turing"" (often related to the Turing test or computer science) and ""Natural"" (often relating to nature or inherent qualities) do not share a significant meaning. They pertain to different domains and concepts. \n\nRating: 0', 'syn_1': '""Machine"" and ""selection"" do not share a similar meaning. ""Machine"" refers to a device that uses power to perform a specific task, while ""selection"" refers to the act of choosing or picking something. There are no overlapping meanings.\n\nRating: 0', 'phrase_0': 'Yes, ""Turing machine"" is a recognized phrase in computer science and mathematics, referring to a theoretical computational model that defines the limits of what can be computed. \n\nRating: 10', 'phrase_1': 'Yes, ""natural selection"" is a widely recognized phrase in biology and evolution. It refers to the process by which organisms better adapted to their environment tend to survive and produce more offspring. It is a fundamental concept and commonly used in various discussions about evolution.\n\nRating: 10', 'contrast': '""Turing machine"" and ""Natural selection"" are concepts from different domains: one from computer science and the other from biology. They don\'t have similar meanings. \n\nRating: 1'}"
Hot take,Drug trade,control_aabb,False,2,5,9,9,1,"{'syn_0': '""Hot"" can refer to something attractive or exciting, while ""Drug"" often refers to a substance that alters perception or mood. They don\'t share a direct meaning, but ""hot"" can sometimes describe illegal drugs. However, the meanings are fundamentally different. \n\nRating: 2', 'syn_1': '""Take"" and ""trade"" can share a similar meaning when considering the concept of exchanging items or services (e.g., ""take"" can refer to accepting something while ""trade"" involves exchanging one thing for another). However, their primary meanings are distinct—""take"" often refers to acquiring or receiving something, while ""trade"" involves reciprocal exchange. Given this context, I would rate their similarity as 5.\n\nRating: 5', 'phrase_0': 'Yes, ""hot take"" is a recognized phrase often used in media and online discourse to describe a strong, often provocative opinion that is typically expressed quickly and without deep analysis. It has become quite popular in discussions, especially on social media.\n\nRating: 9', 'phrase_1': 'Yes, ""drug trade"" is a recognized phrase, commonly used to refer to the illegal trade of drugs and substances. It is well-documented in law enforcement, media, and academic contexts. \n\nRating: 9', 'contrast': 'No, ""Hot take"" and ""Drug trade"" do not have similar meanings. A ""hot take"" refers to a strongly opinionated or provocative statement, often made quickly in reaction to something, while ""drug trade"" refers to the illegal business of producing and distributing drugs. \n\nRating: 1'}"
Charge conservation,Document seal,control_aabb,False,0,0,9,7,1,"{'syn_0': '""Charge"" and ""Document"" do not share a similar meaning. ""Charge"" typically relates to an accusation, an electrical term, or to ask for payment, while ""Document"" refers to a written or printed paper that provides information. \n\nRating: 0', 'syn_1': '""Conservation"" generally refers to the protection and preservation of the environment and natural resources, while ""seal"" can refer to a marine animal or to close something securely. They do not share a similar meaning.\n\nRating: 0', 'phrase_0': '""Charge conservation"" is a recognized phrase in physics, specifically referring to the principle that electric charge can neither be created nor destroyed. It is commonly used in discussions of electromagnetism and particle physics. \n\nRating: 9', 'phrase_1': '""Document seal"" is a recognized phrase, particularly in legal and administrative contexts where it refers to a stamp, impression, or method of authentication used to validate documents. It\'s not exceedingly common, but it has clear usage in specific sectors. \n\nRating: 7', 'contrast': '""Charge conservation"" and ""Document seal"" do not have a similar meaning. ""Charge conservation"" refers to a principle in physics where electric charge cannot be created or destroyed, while ""Document seal"" pertains to the security and integrity of a document, often indicating that it has not been altered. \n\nRating: 1'}"
Musical lineup,Legal tender,control_aabb,False,0,0,9,9,1,"{'syn_0': '""Musical"" relates to music, sound, or rhythm, while ""Legal"" pertains to law or regulations. They do not share any meaningful similarity. \n\nRating: 0', 'syn_1': '""Lineup"" and ""tender"" do not share similar meanings. ""Lineup"" generally refers to an arrangement or series of people or things, often in a criminal context, while ""tender"" can refer to something being soft or delicate, or it can indicate an offering in a commercial context. There are no notable slang or vulgar meanings that connect them.\n\nRating: 0', 'phrase_0': 'Yes, ""musical lineup"" is a recognized phrase commonly used in the context of music festivals, concerts, or events to denote the artists or bands scheduled to perform. It is widely understood in music industry jargon. \n\nRating: 9', 'phrase_1': 'Yes, ""legal tender"" is a recognized phrase commonly used in legal and financial contexts to refer to money that must be accepted if offered in payment of a debt. \n\nRating: 9', 'contrast': 'No, ""Musical lineup"" refers to the arrangement of artists or bands performing at an event, while ""Legal tender"" refers to money that must be accepted if offered in payment of a debt. They are unrelated concepts. \n\nRating: 1'}"
Jewelry thief,Talk show,control_aabb,False,0,0,9,9,1,"{'syn_0': '""Jewelry"" refers to decorative items worn for personal adornment, while ""Talk"" refers to spoken communication or conversation. They do not share a meaning, as one refers to physical objects and the other to an action. \n\nRating: 0', 'syn_1': 'No, ""thief"" and ""show"" do not share a meaning. A ""thief"" refers to someone who steals, while ""show"" refers to a performance or display. \n\nRating: 0', 'phrase_0': '""Jewelry thief"" is a recognized phrase that clearly describes a person who steals jewelry. It is straightforward and easily understood. \n\nRating: 9', 'phrase_1': 'Yes, ""talk show"" is a recognized phrase, commonly used to refer to television or radio programs where a host discusses various topics with invited guests. It is widely understood in popular culture. \n\nRating: 9', 'contrast': 'No, ""Jewelry thief"" refers to someone who steals jewelry, while ""Talk show"" refers to a television or radio program featuring discussions with guests. They are unrelated concepts. \n\nRating: 1'}"
Hamming circle,Cat call,control_aabb,False,0,0,8,9,1,"{'syn_0': '""Hamming"" refers to a type of error-detecting or error-correcting code in computer science, while ""Cat"" typically refers to the domesticated animal. There is no shared meaning between the two concepts. \n\nRating: 0', 'syn_1': '""Circle"" and ""call"" do not share a direct or related meaning. ""Circle"" often refers to a shape or a group, while ""call"" can mean to phone someone or summon. There are no slang or vulgar meanings that link them either. \n\nRating: 0', 'phrase_0': 'Yes, ""Hamming circle"" is a recognized term in coding theory, particularly associated with error-correcting codes and the concept of spheres in Hamming space. It\'s a specific topic in the area of computer science and information theory.\n\nRating: 8', 'phrase_1': 'Yes, ""cat call"" is a recognized phrase commonly used to describe a lewd or sexually suggestive comment made in public, typically towards a woman. It is widely understood in discussions about street harassment and gender issues. \n\nRating: 9', 'contrast': 'No, ""Hamming circle"" and ""Cat call"" do not have similar meanings. A Hamming circle relates to coding theory and error-detection, while a cat call refers to a form of street harassment or a type of vocalization made to attract attention. \n\nRating: 1'}"
Can opener,Beach body,control_aabb,False,0,0,9,8,1,"{'syn_0': '""Can"" and ""Beach"" do not share any meaning, as they refer to completely different concepts. Therefore, the similarity is zero. \n\nRating: 0', 'syn_1': 'The word ""opener"" generally refers to something that opens or initiates, while ""body"" typically refers to a physical entity or the main substance of something. They do not share a similar meaning in a direct sense, nor do they have slang or vulgar meanings that overlap. \n\nRating: 0', 'phrase_0': '""Can opener"" is a widely recognized phrase referring to a tool for opening canned goods. It is straightforward and commonly used in everyday language. I would rate it 9 out of 10 for its clarity and prevalence. \n\nRating: 9', 'phrase_1': 'Yes, ""beach body"" is a recognized phrase commonly used in fitness and health contexts to describe an idealized physique suitable for beachwear. It is often associated with summer fitness goals. \n\nRating: 8', 'contrast': 'No, ""Can opener"" and ""Beach body"" do not have a similar meaning. A can opener is a tool used to open canned goods, while beach body refers to a physique considered ideal for the beach, often associated with fitness and aesthetics. \n\nRating: 1'}"
Road head,Mutual masturbation,control_aabb,False,0,7,7,9,3,"{'syn_0': '""Road"" typically refers to a pathway or route, while ""mutual"" indicates a shared or reciprocal relationship. They do not share any similar meanings. \n\nRating: 0', 'syn_1': 'Yes, ""head"" can refer to oral sex, which relates to masturbation in the context of sexual activity. \n\nRating: 7', 'phrase_0': 'Yes, ""road head"" is a recognized slang term referring to oral sex performed on a person driving a vehicle. While more common in certain social groups or contexts, it is understood by many.\n\nRating: 7', 'phrase_1': 'Yes, ""mutual masturbation"" is a recognized phrase commonly used in sexual contexts. It refers to a sexual activity where two people stimulate each other\'s genitals. \n\nRating: 9', 'contrast': '""Road head"" typically refers to oral sex performed on a driver while in a vehicle, while ""mutual masturbation"" involves two partners stimulating each other\'s genitals. They both fall under sexual activities but have different contexts and practices. \n\nSimilarity rating: 3/10  \nRating: 3'}"
Jumper cable,Circle jerk,control_aabb,False,0,0,8,8,1,"{'syn_0': '""Jumper"" typically refers to a type of clothing or a person who jumps, while ""Circle"" can refer to a geometric shape or a group of people. There is no significant overlap in meaning, and they do not share slang or vulgar meanings. \n\nRating: 0', 'syn_1': '""Cable"" and ""jerk"" do not share a common meaning. ""Cable"" typically refers to a strong, flexible material used for construction or transmission, while ""jerk"" can refer to a sudden movement or can be slang for an unkind person. There is no relevant overlap. \n\nRating: 0', 'phrase_0': '""Jumper cable"" is a recognized phrase commonly used in automotive contexts to refer to cables used to start a vehicle with a dead battery. It is a widely understood term, though it may have niche use outside of automotive circles. \n\nRating: 8', 'phrase_1': 'Yes, ""circle jerk"" is a recognized phrase, mainly used in informal contexts to describe a self-congratulatory discussion or activity among a group that lacks outside perspective or critical evaluation. It is also known in some subcultures and online communities. \n\nRating: 8', 'contrast': '""Jumper cable"" and ""Circle jerk"" do not have similar meanings. ""Jumper cable"" refers to a tool used to start a vehicle\'s battery, while ""circle jerk"" is a slang term often used to describe a group activity that involves mutual gratification or agreement without critical thought. \n\nRating: 1'}"
Lit match,Fire starter,control_aabb,False,8,4,7,8,6,"{'syn_0': '""Lit"" and ""Fire"" can share similar meanings in slang, particularly relating to enthusiasm or excitement (e.g., a ""lit"" party or event being ""fire""). \n\nRating: 8', 'syn_1': '""Match"" and ""starter"" can share a meaning in contexts like igniting or starting a fire (e.g., a match is used to start a fire, and a starter can refer to something that initiates). However, they are primarily used in different contexts and do not have strong overlapping meanings. \n\nRating: 4', 'phrase_0': '""Lit match"" is a recognized phrase, especially in contexts relating to fire, lighting, or symbolism. It\'s straightforward and clear, commonly used in everyday language. \n\nRating: 7', 'phrase_1': 'Yes, ""fire starter"" is a recognized phrase often used to refer to a person who instigates conflict or to a product used to ignite fires. It can also refer to the 1980 Stephen King novel and its adaptations. Overall, it has multiple, clear meanings in various contexts.\n\nRating: 8', 'contrast': '""Lit match"" refers specifically to a match that has been ignited, while ""fire starter"" generally refers to any substance or tool that can start a fire, which could include a lit match but also encompasses other items like lighter fluid or fire starters. Therefore, while they are related, they are not equivalent terms. I would rate their similarity as a 6 out of 10.\n\nRating: 6'}"
Whole Foods,Street smarts,control_aabb,False,0,0,9,9,2,"{'syn_0': '""Whole"" and ""Street"" do not share similar meanings; they refer to different concepts—""whole"" relating to entirety and ""street"" relating to a thoroughfare. There are no relevant slang or vulgar connections either. \n\nRating: 0', 'syn_1': 'No, ""foods"" and ""smarts"" do not share any similar meanings. \n\nRating: 0', 'phrase_0': 'Yes, ""Whole Foods"" is a recognized phrase, primarily associated with the supermarket chain known for its focus on organic and natural foods. It is widely understood in retail and health-conscious communities.\n\nRating: 9', 'phrase_1': 'Yes, ""street smarts"" is a recognized phrase commonly used to describe practical knowledge and experience in dealing with real-world situations, particularly in urban environments. It reflects a form of intelligence that differs from academic knowledge. \n\nRating: 9', 'contrast': 'No, ""Whole Foods"" refers to a grocery store chain that focuses on natural and organic food products, while ""Street smarts"" refers to the ability to handle practical situations and navigate everyday life experiences wisely. Their meanings are quite different.\n\nRating: 2'}"
Picture frame,Amphetamine shortage,control_aabb,False,0,0,9,7,1,"{'syn_0': '""Picture"" and ""Amphetamine"" do not share any meanings or connotations. ""Picture"" generally refers to an image or representation, while ""Amphetamine"" refers to a type of stimulant drug. Given that their meanings are distinct and unrelated, the similarity rating is low. \n\nRating: 0', 'syn_1': '""Frame"" and ""shortage"" do not share a meaning; they refer to different concepts. ""Frame"" typically relates to structure or context, while ""shortage"" refers to a lack of something. \n\nRating: 0', 'phrase_0': 'Yes, ""picture frame"" is a widely recognized phrase used to describe a structure that holds and displays a picture or photograph. It is common in everyday language and has clear meaning in both casual and professional contexts.\n\nRating: 9', 'phrase_1': '""Amphetamine shortage"" is a recognized phrase, particularly in contexts such as medicine, pharmaceuticals, and discussions about ADHD treatments. It refers to the low availability of amphetamine medications, which can impact patients needing these treatments. Given its relevance and specificity, I would rate it a 7 out of 10.\n\nRating: 7', 'contrast': '""Picture frame"" and ""Amphetamine shortage"" have very different meanings; one refers to an object used to display pictures, while the other refers to a lack of a specific drug. Their similarity is low. \n\nRating: 1'}"
Rock musician,Fractionalized asset,control_aabb,False,0,0,9,8,1,"{'syn_0': 'The terms ""Rock"" and ""Fractionalized"" do not share a meaning, as ""Rock"" typically refers to a solid mineral material or can be slang for something strong or admirable, while ""Fractionalized"" refers to something divided into smaller parts or shares. There is no overlap in meaning. \n\nRating: 0', 'syn_1': '""Musician"" and ""asset"" do not share a common meaning. A musician refers to someone who plays music or is involved in the music industry, while an asset refers to an item of value or a resource. Their meanings are quite distinct with no overlap.\n\nRating: 0', 'phrase_0': 'Yes, ""rock musician"" is a recognized phrase widely used to describe artists who perform rock music. It\'s common in both music journalism and casual conversation. \n\nRating: 9', 'phrase_1': '""Fractionalized asset"" is a recognized phrase, particularly in finance and blockchain contexts, referring to the division of an asset into smaller parts to enable partial ownership. It scores well for specificity and relevance within its niche.\n\nRating: 8', 'contrast': 'No, ""Rock musician"" refers to an artist in the music genre of rock, while ""Fractionalized asset"" refers to ownership of a portion of a financial asset. They are unrelated concepts. \n\nRating: 1'}"
Post scarcity,Poisson distribution,control_aabb,False,0,2,8,10,1,"{'syn_0': '""Post"" generally refers to a message or update shared online, while ""Poisson"" in French means fish, and in mathematics, it refers to a type of probability distribution. There is no direct shared meaning, and they represent different concepts. \n\nRating: 0', 'syn_1': 'Scarcity refers to a limited availability of resources, while distribution involves the allocation or dissemination of resources. They share a conceptual relationship in the context of resource management, but they are fundamentally different in meaning. \n\nRating: 2', 'phrase_0': 'Yes, ""post-scarcity"" is a recognized phrase, often used in discussions related to economics, technology, and speculative fiction to describe a hypothetical situation where goods and resources are abundant, making scarcity obsolete. It is well-known in certain contexts, especially in futurism and some social theories.\n\nRating: 8', 'phrase_1': 'Yes, ""Poisson distribution"" is a recognized phrase in statistics and probability theory, commonly used in various fields such as mathematics, engineering, and social sciences to describe the probability of a given number of events occurring in a fixed interval of time or space. \n\nRating: 10', 'contrast': 'No, ""post scarcity"" refers to a hypothetical economic state where resources are abundant and available to all, eliminating scarcity, while ""Poisson distribution"" is a statistical concept used to model the number of events occurring within a fixed interval of time or space. Their meanings are quite different.\n\nRating: 1'}"
Joint venture,Backseat driver,control_aabb,False,0,0,9,9,1,"{'syn_0': '""Joint"" often refers to a rolled cigarette containing cannabis, while ""backseat"" typically refers to the rear seats in a vehicle. They do not share a similar meaning. \n\nRating: 0', 'syn_1': '""Venture"" typically refers to a risky or daring journey or project, while ""driver"" generally denotes someone who drives a vehicle. They do not share a similar meaning. \n\nRating: 0', 'phrase_0': 'Yes, ""joint venture"" is a recognized phrase, particularly in business and legal contexts, referring to a partnership between parties to undertake a specific project. It is common jargon in industry discussions. \n\nRating: 9', 'phrase_1': 'Yes, ""backseat driver"" is a recognized phrase commonly used to describe a passenger who gives unsolicited advice or direction while someone else is driving. It is widely understood in both everyday language and informal contexts. \n\nRating: 9', 'contrast': 'No, ""Joint venture"" and ""Backseat driver"" do not have similar meanings. A ""joint venture"" refers to a business arrangement where two or more parties agree to work together, while a ""backseat driver"" refers to a person who gives unwanted advice or instructions to someone who is driving. Their contexts and meanings are quite different. \n\nRating: 1'}"
Rich imagery,Grand Canyon,control_aabb,False,6,0,9,10,2,"{'syn_0': '""Rich"" and ""Grand"" can share a meaning related to wealth or abundance, particularly when ""grand"" is used to describe something impressive or lavish, often associated with affluence. However, they are not synonymous and can also have different connotations. \n\nRating: 6', 'syn_1': '""Imagery"" generally refers to descriptive language that evokes sensory experience, while ""canyon"" denotes a deep gorge or valley carved by water. There is no direct or relevant similarity in their meanings. \n\nRating: 0', 'phrase_0': 'Yes, ""rich imagery"" is a recognized phrase, commonly used in literary criticism and art discussions to describe vivid and detailed descriptive language or visual representation that evokes strong sensory impressions. \n\nRating: 9', 'phrase_1': 'Yes, ""Grand Canyon"" is a well-recognized phrase referring to the famous natural landmark in Arizona, known for its immense size and geological significance. It\'s widely used in tourism, education, and natural history contexts.\n\nRating: 10', 'contrast': 'No, ""rich imagery"" refers to vivid descriptive language that creates strong visual impressions, while ""Grand Canyon"" is a specific geographical location known for its natural beauty. Their meanings are quite different.\n\nRating: 2'}"
Natural log,Prompt injection,control_aabb,False,0,0,9,8,1,"{'syn_0': '""Natural"" typically means something that occurs in nature or is inherent, while ""Prompt"" often refers to something done quickly or without delay. They do not share a similar meaning in any common or slang usage. \n\nRating: 0', 'syn_1': '""Log"" and ""injection"" do not share meanings, as ""log"" generally refers to a piece of wood or a record, while ""injection"" pertains to introducing a substance into something, often with a syringe. There are no overlapping meanings or slang that connect them. \n\nRating: 0', 'phrase_0': 'Yes, ""Natural log"" is a recognized phrase in mathematics and science, referring to the logarithm to the base \\(e\\). It is commonly used in various fields such as calculus, statistics, and computer science.\n\nRating: 9', 'phrase_1': 'Yes, ""prompt injection"" is a recognized phrase, particularly in the context of AI and natural language processing. It refers to techniques that manipulate the input prompts to achieve a desired output or exploit vulnerabilities in models. \n\nRating: 8', 'contrast': 'No, ""Natural log"" refers to a mathematical function (the logarithm to the base e), while ""Prompt injection"" is a technique used in natural language processing to manipulate or enhance responses from AI models. They are entirely different concepts. \n\nRating: 1'}"
Goose chase,Country music,control_aabb,False,0,0,9,10,1,"{'syn_0': '""Goose"" and ""Country"" do not share any meanings. A goose is a type of bird, while country refers to a nation or area of land. They do not have overlapping meanings, even in slang or vulgar terms. \n\nRating: 0', 'syn_1': '""Chase"" typically refers to pursuing something or someone, while ""music"" pertains to organized sound. They do not share a similar meaning. \n\nRating: 0', 'phrase_0': '""Goose chase"" is a recognized phrase that refers to a futile or pointless pursuit. It is commonly used in English and understood by most speakers. \n\nRating: 9', 'phrase_1': 'Yes, ""Country music"" is a widely recognized phrase referring to a genre of music that originated in the Southern United States. It encompasses a variety of styles and has significant cultural relevance. \n\nRating: 10', 'contrast': '""Goose chase"" refers to a futile pursuit or an impossible task, while ""Country music"" is a genre of music with roots in American folk and blues. The two phrases have distinct meanings and contexts. \n\nRating: 1'}"
Mobile home,Vector space,control_aabb,False,2,2,9,10,1,"{'syn_0': '""Mobile"" generally refers to something that is movable or portable, while ""Vector"" often relates to direction or quantity in mathematics and science, or it can refer to a carrier of disease. There is minimal overlap in their meanings, and they do not share any significant slang or vulgar connotations. \n\nRating: 2', 'syn_1': '""Home"" typically refers to a place of residence or comfort, while ""space"" can refer to a physical area or an abstract realm. They do not share similar meanings, as ""space"" does not convey the same connotation of familiarity or belonging that ""home"" does. However, in some contexts, ""space"" can refer to personal space, which might loosely connect to the comfort found in ""home"". Overall, the connection is very weak.\n\nRating: 2', 'phrase_0': 'Yes, ""mobile home"" is a recognized phrase commonly used to describe prefabricated housing that can be moved. It is widely understood in various contexts, including real estate, construction, and lifestyle discussions.\n\nRating: 9', 'phrase_1': 'Yes, ""Vector space"" is a recognized phrase in mathematics, specifically in linear algebra, referring to a set of vectors that can be added together and multiplied by scalars. It is widely used in both academic and practical contexts.\n\nRating: 10', 'contrast': 'No, ""Mobile home"" and ""Vector space"" do not have a similar meaning. A mobile home refers to a type of manufactured housing, while a vector space is a concept in mathematics that involves a set of vectors and operations on them. \n\nRating: 1'}"
Case sensitive,Dharma wheel,control_aabb,False,0,0,9,9,1,"{'syn_0': '""Case"" and ""Dharma"" generally do not share a meaning. ""Case"" often refers to a situation or instance, while ""Dharma"" refers to a concept in Indian philosophy regarding duty, law, and righteousness. They have no relevant overlap in meaning.\n\nRating: 0', 'syn_1': '""Sensitive"" generally refers to being easily affected by emotions or physical stimuli, while ""wheel"" typically denotes a circular object that rotates, often associated with movement or vehicles. These words do not share any similar meanings, even in slang or vulgar contexts, as they relate to entirely different concepts.\n\nRating: 0', 'phrase_0': 'Yes, ""case sensitive"" is a recognized phrase, particularly in computing and programming contexts. It refers to the distinction between uppercase and lowercase letters in text comparisons or commands. \n\nRating: 9', 'phrase_1': 'Yes, ""Dharma wheel"" is a recognized phrase, particularly in Buddhist contexts. It refers to the teachings of the Buddha and represents the cycle of birth, life, death, and rebirth. It is a significant symbol in Buddhism and widely understood in spiritual and religious discussions.\n\nRating: 9', 'contrast': '""Case sensitive"" refers to the distinction between uppercase and lowercase letters in computing and programming contexts, while ""Dharma wheel"" symbolizes the teachings of Buddhism and the cycle of life. They are unrelated in meaning and context. \n\nRating: 1'}"
Public shaming,Fast day,control_aabb,False,0,0,9,6,1,"{'syn_0': '""Public"" refers to something that is available to or shared by all people, while ""Fast"" commonly refers to speed or quickness. There is no overlapping meaning between them. \n\nRating: 0', 'syn_1': '""Shaming"" refers to the act of criticizing or humiliating someone, while ""day"" typically refers to a period of 24 hours, associated with time and light. They do not share a meaning, and their contexts are quite different. \n\nRating: 0', 'phrase_0': 'Yes, ""public shaming"" is a recognized phrase, commonly used in discussions about social media, morality, and justice. It is well-understood in both mainstream and academic contexts. \n\nRating: 9', 'phrase_1': '""Fast day"" is recognized in various contexts, such as religious observances where fasting takes place. It is a proper term in some cultural or religious practices, though not widely used outside those contexts. \n\nRating: 6', 'contrast': 'Public shaming refers to the act of publicly humiliating or criticizing an individual, often on social media or in public settings, while a fast day is a designated day for fasting or abstaining from food for religious or cultural reasons. These concepts are fundamentally different in purpose and practice, thus having low similarity.\n\nRating: 1'}"
